gate 1 (cz, q56, q57)
gate 2 (h, q54)
  gate 979 (swap, q21, q19)
  gate 980 (swap, q26, q19)
  gate 981 (swap, q1, q0)
  gate 982 (swap, q27, q34)
  gate 983 (swap, q27, q16)
  gate 984 (cz, q16, q19)
  gate 985 (cx, q16, q19)
  gate 986 (cx, q16, q19)
  gate 987 (cz, q16, q19)
  gate 988 (rz, q16)
  gate 989 (z, q19)
  gate 990 (h, q16)
  gate 991 (h, q19)
  gate 992 (cx, q16, q19)
  gate 993 (z, q16)
  gate 994 (rz, q19)
  gate 995 (cz, q16, q19)
  gate 996 (swap, q29, q34)
  gate 997 (swap, q35, q36)
  gate 998 (swap, q30, q34)
  gate 999 (cx, q34, q36)
  gate 1000 (cx, q34, q36)
  gate 1001 (cz, q34, q36)
  gate 1002 (rx, q34)
  gate 1003 (rx, q36)
  gate 1004 (x, q36)
  gate 1005 (h, q34)
  gate 1006 (cx, q34, q36)
  gate 1007 (rx, q36)
  gate 1008 (z, q34)
  gate 1009 (h, q36)
  gate 1010 (rz, q34)
  gate 1011 (cx, q34, q36)
  gate 1012 (x, q36)
  gate 1013 (h, q34)
  gate 1014 (swap, q0, q3)
  gate 1015 (swap, q2, q17)
  gate 1016 (swap, q1, q0)
  gate 1017 (swap, q3, q2)
  gate 1018 (swap, q1, q14)
  gate 1019 (swap, q2, q17)
  gate 1020 (swap, q17, q4)
  gate 1021 (swap, q4, q5)
  gate 1022 (swap, q5, q6)
  gate 1023 (swap, q6, q7)
  gate 1024 (swap, q7, q8)
  gate 1025 (swap, q4, q5)
  gate 1026 (swap, q8, q9)
  gate 1027 (swap, q17, q4)
  gate 1028 (swap, q9, q10)
  gate 1029 (swap, q17, q15)
  gate 1030 (swap, q10, q11)
  gate 1031 (swap, q2, q17)
  gate 1032 (swap, q11, q12)
  gate 1033 (swap, q14, q1)
  gate 1034 (cx, q18, q1)
  gate 1035 (cz, q18, q1)
  gate 1036 (z, q1)
  gate 1037 (z, q18)
  gate 1038 (z, q1)
  gate 1039 (rx, q18)
  gate 1040 (cz, q18, q1)
  gate 1041 (cz, q18, q1)
  gate 1042 (cx, q18, q1)
  gate 1043 (swap, q3, q0)
  gate 1044 (swap, q11, q31)
  gate 1045 (swap, q2, q0)
  gate 1046 (swap, q17, q0)
  gate 1047 (swap, q4, q0)
  gate 1048 (swap, q5, q0)
  gate 1049 (swap, q6, q0)
  gate 1050 (swap, q7, q0)
  gate 1051 (swap, q8, q0)
  gate 1052 (swap, q9, q0)
  gate 1053 (swap, q10, q0)
  gate 1054 (cx, q0, q31)
  gate 1055 (h, q31)
  gate 1056 (rx, q0)
  gate 1057 (rx, q0)
  gate 1058 (z, q31)
  gate 1059 (cx, q0, q31)
  gate 1060 (rz, q31)
  gate 1061 (z, q0)
  gate 1062 (x, q0)
  gate 1063 (rx, q31)
  gate 1064 (cx, q0, q31)
  gate 1065 (x, q31)
  gate 1066 (x, q0)
  gate 1067 (rz, q31)
  gate 1068 (rz, q0)
  gate 1069 (rz, q31)
  gate 1070 (h, q0)
  gate 1071 (swap, q14, q1)
  gate 1072 (swap, q31, q11)
  gate 1073 (swap, q27, q16)
  gate 1074 (swap, q25, q21)
  gate 1075 (swap, q26, q19)
  gate 1076 (swap, q30, q34)
  gate 1077 (swap, q23, q25)
  gate 1078 (swap, q21, q26)
  gate 1079 (swap, q29, q30)
  gate 1080 (swap, q10, q0)
  gate 1081 (swap, q17, q4)
  gate 1082 (swap, q9, q10)
  gate 1083 (swap, q25, q21)
  gate 1084 (swap, q4, q5)
  gate 1085 (swap, q8, q9)
  gate 1086 (swap, q5, q6)
  gate 1087 (swap, q7, q8)
  gate 1088 (swap, q6, q7)
  gate 1089 (swap, q5, q6)
  gate 1090 (swap, q4, q5)
  gate 1091 (swap, q17, q4)
  gate 1092 (swap, q7, q8)
  gate 1093 (swap, q8, q9)
  gate 1094 (swap, q9, q10)
  gate 1095 (swap, q10, q0)
  gate 1096 (swap, q0, q31)
  gate 1097 (swap, q35, q13)
  gate 1098 (swap, q36, q35)
  gate 1099 (swap, q11, q36)
  gate 1100 (swap, q31, q11)
  gate 1101 (swap, q31, q12)
  gate 1102 (swap, q35, q13)
  gate 1103 (swap, q2, q17)
  gate 1104 (swap, q23, q25)
  gate 1105 (swap, q3, q2)
  gate 1106 (swap, q22, q23)
  gate 1107 (swap, q14, q3)
  gate 1108 (swap, q20, q22)
  gate 1109 (swap, q19, q16)
  gate 1110 (swap, q2, q17)
  gate 1111 (swap, q23, q25)
  gate 1112 (swap, q16, q29)
  gate 1113 (swap, q19, q16)
}
gate 1114 (measure, q67)
gate 1115 (rx, q49)
gate 1116 (rz, q56)
gate 1117 (z, q56)
if {
  // then
  gate 1118 (rz, q69)
  gate 1119 (x, q45)
  gate 1120 (h, q16)
  gate 1121 (z, q57)
  gate 1122 (z, q18)
  gate 1123 (rz, q22)
  gate 1124 (rx, q62)
  gate 1125 (rx, q40)
  gate 1126 (h, q44)
  gate 1127 (x, q16)
  gate 1128 (z, q22)
  gate 1129 (x, q62)
  gate 1130 (rx, q40)
  gate 1131 (rz, q18)
  gate 1132 (x, q45)
  gate 1133 (rz, q57)
  gate 1134 (rz, q44)
  gate 1135 (x, q69)
  gate 1136 (rx, q69)
  gate 1137 (rz, q45)
  gate 1138 (rz, q18)
  gate 1139 (rx, q62)
  gate 1140 (rz, q40)
  gate 1141 (rx, q57)
  gate 1142 (h, q18)
  gate 1143 (rx, q69)
  gate 1144 (rz, q45)
  gate 1145 (z, q57)
  gate 1146 (rz, q62)
  gate 1147 (z, q40)
  gate 1148 (z, q57)
  gate 1149 (rx, q45)
  gate 1150 (h, q69)
  gate 1151 (rx, q62)
  gate 1152 (z, q57)
  gate 1153 (h, q69)
  gate 1154 (h, q62)
  gate 1155 (rx, q45)
  gate 1156 (z, q62)
  gate 1157 (rz, q57)
  gate 1158 (rz, q45)
  gate 1159 (x, q69)
  gate 1160 (rz, q69)
  gate 1161 (x, q62)
  gate 1162 (x, q57)
  gate 1163 (rz, q45)
  gate 1164 (rx, q69)
  gate 1165 (h, q62)
  gate 1166 (rz, q57)
  gate 1167 (h, q45)
  gate 1168 (rz, q57)
  gate 1169 (rx, q62)
  gate 1170 (x, q69)
  gate 1171 (x, q45)
  gate 1172 (swap, q6, q7)
  gate 1173 (swap, q10, q11)
  gate 1174 (swap, q23, q25)
  gate 1175 (swap, q34, q27)
  gate 1176 (swap, q5, q6)
  gate 1177 (swap, q16, q27)
  gate 1178 (swap, q22, q23)
  gate 1179 (swap, q4, q5)
  gate 1180 (swap, q21, q22)
  gate 1181 (swap, q3, q4)
  gate 1182 (swap, q20, q21)
  gate 1183 (swap, q2, q3)
  gate 1184 (swap, q19, q20)
  gate 1185 (swap, q1, q2)
  gate 1186 (swap, q0, q1)
  gate 1187 (swap, q0, q14)
  gate 1188 (swap, q8, q9)
  gate 1189 (swap, q11, q12)
  gate 1190 (swap, q9, q10)
  gate 1191 (swap, q10, q11)
  gate 1192 (swap, q9, q10)
  gate 1193 (swap, q8, q9)
  gate 1194 (swap, q11, q12)
  for (iterations=100) {
    gate 1195 (cx, q0, q1)
    gate 1196 (cz, q2, q3)
    gate 1197 (cz, q4, q5)
    gate 1198 (cx, q6, q7)
    gate 1199 (rx, q8)
    gate 1200 (rz, q9)
    gate 1201 (rz, q10)
    gate 1202 (z, q11)
    gate 1203 (rz, q12)
    gate 1204 (rz, q13)
    gate 1205 (x, q14)
    gate 1206 (rz, q15)
    gate 1207 (h, q16)
    gate 1208 (rx, q17)
    gate 1209 (h, q18)
    gate 1210 (rz, q19)
    gate 1211 (cx, q13, q8)
    gate 1212 (cx, q14, q12)
    gate 1213 (cx, q4, q5)
    gate 1214 (cz, q6, q7)
    gate 1215 (h, q3)
    gate 1216 (x, q19)
    gate 1217 (h, q18)
    gate 1218 (rx, q2)
    gate 1219 (z, q17)
    gate 1220 (rz, q15)
    gate 1221 (z, q0)
    gate 1222 (rz, q16)
    gate 1223 (h, q10)
    gate 1224 (rz, q1)
    gate 1225 (z, q9)
    gate 1226 (z, q11)
    gate 1227 (cx, q4, q5)
    gate 1228 (cz, q9, q11)
    gate 1229 (cz, q0, q1)
    gate 1230 (cz, q13, q8)
    gate 1231 (h, q6)
    gate 1232 (rz, q7)
    gate 1233 (rz, q17)
    gate 1234 (rx, q12)
    gate 1235 (rx, q19)
    gate 1236 (h, q16)
    gate 1237 (x, q14)
    gate 1238 (rz, q18)
    gate 1239 (rx, q3)
    gate 1240 (z, q15)
    gate 1241 (h, q10)
    gate 1242 (h, q2)
    gate 1243 (cz, q14, q12)
    gate 1244 (cx, q2, q3)
    gate 1245 (cz, q13, q8)
    gate 1246 (cz, q0, q1)
    gate 1247 (rz, q17)
    gate 1248 (rx, q11)
    gate 1249 (h, q6)
    gate 1250 (z, q10)
    gate 1251 (z, q5)
    gate 1252 (h, q19)
    gate 1253 (rx, q16)
    gate 1254 (h, q15)
    gate 1255 (x, q7)
    gate 1256 (rx, q4)
    gate 1257 (z, q9)
    gate 1258 (h, q18)
    gate 1259 (cz, q2, q3)
    gate 1260 (cz, q13, q8)
    gate 1261 (cz, q4, q5)
    gate 1262 (h, q7)
    gate 1263 (rz, q16)
    gate 1264 (z, q19)
    gate 1265 (rz, q12)
    gate 1266 (x, q1)
    gate 1267 (rz, q0)
    gate 1268 (x, q14)
    gate 1269 (x, q18)
    gate 1270 (h, q15)
    gate 1271 (z, q9)
    gate 1272 (z, q6)
    gate 1273 (h, q11)
    gate 1274 (z, q5)
    gate 1275 (z, q15)
    gate 1276 (z, q1)
    gate 1277 (rx, q14)
    gate 1278 (z, q18)
    gate 1279 (rz, q9)
    gate 1280 (z, q0)
    gate 1281 (rz, q19)
    gate 1282 (x, q12)
    gate 1283 (cz, q2, q3)
    gate 1284 (cz, q13, q8)
    gate 1285 (cx, q6, q7)
    gate 1286 (h, q11)
    gate 1287 (z, q16)
    gate 1288 (z, q4)
    gate 1289 (cx, q2, q3)
    gate 1290 (cz, q13, q8)
    gate 1291 (cx, q0, q1)
    gate 1292 (cx, q4, q5)
    gate 1293 (rz, q19)
    gate 1294 (rx, q16)
    gate 1295 (rz, q9)
    gate 1296 (rz, q6)
    gate 1297 (rz, q14)
    gate 1298 (h, q7)
    gate 1299 (rx, q11)
    gate 1300 (z, q15)
    gate 1301 (z, q18)
    gate 1302 (rz, q12)
    gate 1303 (cx, q14, q12)
    gate 1304 (cz, q6, q7)
    gate 1305 (cx, q4, q5)
    gate 1306 (cz, q19, q16)
    gate 1307 (rx, q9)
    gate 1308 (rx, q8)
    gate 1309 (rx, q18)
    gate 1310 (rz, q1)
    gate 1311 (rx, q13)
    gate 1312 (rz, q2)
    gate 1313 (rz, q0)
    gate 1314 (rz, q15)
    gate 1315 (rz, q3)
    gate 1316 (rx, q11)
    gate 1317 (cz, q14, q12)
    gate 1318 (cx, q6, q7)
    gate 1319 (cx, q2, q3)
    gate 1320 (cz, q19, q16)
    gate 1321 (rz, q5)
    gate 1322 (x, q8)
    gate 1323 (x, q1)
    gate 1324 (z, q0)
    gate 1325 (h, q13)
    gate 1326 (rx, q11)
    gate 1327 (h, q9)
    gate 1328 (x, q4)
    gate 1329 (rz, q18)
    gate 1330 (x, q15)
    gate 1331 (cz, q14, q12)
    gate 1332 (cx, q13, q8)
    gate 1333 (cz, q19, q16)
    gate 1334 (rx, q7)
    gate 1335 (rx, q11)
    gate 1336 (h, q2)
    gate 1337 (x, q18)
    gate 1338 (z, q5)
    gate 1339 (rz, q9)
    gate 1340 (rx, q15)
    gate 1341 (rx, q1)
    gate 1342 (h, q0)
    gate 1343 (h, q4)
    gate 1344 (x, q3)
    gate 1345 (x, q6)
    gate 1346 (swap, q8, q10)
    gate 1347 (cz, q17, q10)
    gate 1348 (cz, q17, q10)
    gate 1349 (rx, q10)
    gate 1350 (h, q17)
    gate 1351 (rx, q10)
    gate 1352 (rx, q17)
    gate 1353 (z, q17)
    gate 1354 (rz, q10)
    gate 1355 (cz, q17, q10)
    gate 1356 (swap, q8, q10)
  }
  gate 1357 (h, q1)
  gate 1358 (rx, q19)
  gate 1359 (z, q65)
  gate 1360 (rx, q19)
  gate 1361 (h, q1)
  gate 1362 (rx, q65)
  gate 1363 (swap, q41, q33)
  gate 1364 (swap, q27, q16)
  gate 1365 (swap, q60, q59)
  gate 1366 (swap, q49, q65)
  gate 1367 (swap, q26, q16)
  gate 1368 (swap, q29, q16)
  gate 1369 (swap, q46, q16)
  gate 1370 (swap, q51, q16)
  gate 1371 (swap, q47, q16)
  gate 1372 (swap, q55, q16)
  gate 1373 (cz, q16, q65)
  gate 1374 (cz, q16, q65)
  gate 1375 (rz, q16)
  gate 1376 (rx, q65)
  gate 1377 (cx, q16, q65)
  gate 1378 (cz, q16, q65)
  gate 1379 (cx, q16, q65)
  gate 1380 (cx, q16, q65)
  gate 1381 (cz, q16, q65)
  gate 1382 (swap, q43, q59)
  gate 1383 (swap, q59, q42)
  gate 1384 (cz, q33, q59)
  gate 1385 (cz, q33, q59)
  gate 1386 (cz, q33, q59)
  gate 1387 (cz, q33, q59)
  gate 1388 (rx, q59)
  gate 1389 (x, q33)
  gate 1390 (cx, q33, q59)
  gate 1391 (h, q33)
  gate 1392 (x, q59)
  gate 1393 (cx, q33, q59)
  gate 1394 (rx, q59)
  gate 1395 (h, q33)
  gate 1396 (cx, q33, q59)
  gate 1397 (swap, q19, q18)
  gate 1398 (swap, q17, q12)
  gate 1399 (swap, q31, q12)
  gate 1400 (swap, q30, q12)
  gate 1401 (swap, q46, q12)
  gate 1402 (swap, q29, q12)
  gate 1403 (swap, q26, q12)
  gate 1404 (swap, q34, q12)
  gate 1405 (swap, q25, q12)
  gate 1406 (swap, q23, q12)
  gate 1407 (swap, q12, q22)
  gate 1408 (swap, q21, q12)
  gate 1409 (swap, q20, q12)
  gate 1410 (swap, q41, q12)
  gate 1411 (swap, q33, q12)
  gate 1412 (swap, q12, q40)
  gate 1413 (cx, q39, q12)
  gate 1414 (cz, q39, q12)
  gate 1415 (rx, q39)
  gate 1416 (z, q12)
  gate 1417 (cz, q39, q12)
  gate 1418 (cx, q39, q12)
  gate 1419 (rz, q12)
  gate 1420 (x, q39)
  gate 1421 (cx, q39, q12)
  gate 1422 (cx, q39, q12)
  gate 1423 (h, q39)
  gate 1424 (rx, q12)
  gate 1425 (rx, q39)
  gate 1426 (x, q12)
  gate 1427 (swap, q11, q10)
  gate 1428 (swap, q23, q22)
  gate 1429 (swap, q28, q44)
  gate 1430 (swap, q24, q22)
  gate 1431 (cz, q44, q22)
  gate 1432 (z, q22)
  gate 1433 (rx, q44)
  gate 1434 (cz, q44, q22)
  gate 1435 (cz, q44, q22)
  gate 1436 (cz, q44, q22)
  gate 1437 (cz, q44, q22)
  gate 1438 (rx, q22)
  gate 1439 (x, q44)
  gate 1440 (h, q22)
  gate 1441 (h, q44)
  gate 1442 (swap, q17, q10)
  gate 1443 (swap, q14, q19)
  gate 1444 (swap, q41, q18)
  gate 1445 (swap, q0, q1)
  gate 1446 (cz, q19, q1)
  gate 1447 (cz, q19, q1)
  gate 1448 (cz, q19, q1)
  gate 1449 (z, q1)
  gate 1450 (x, q19)
  gate 1451 (rx, q19)
  gate 1452 (rx, q1)
  gate 1453 (h, q19)
  gate 1454 (x, q1)
  gate 1455 (cx, q19, q1)
  gate 1456 (x, q19)
  gate 1457 (x, q1)
  gate 1458 (swap, q33, q18)
  gate 1459 (cx, q40, q18)
  gate 1460 (rx, q40)
  gate 1461 (rz, q18)
  gate 1462 (cx, q40, q18)
  gate 1463 (x, q40)
  gate 1464 (rx, q18)
  gate 1465 (cz, q40, q18)
  gate 1466 (cz, q40, q18)
  gate 1467 (swap, q31, q10)
  gate 1468 (swap, q36, q32)
  gate 1469 (swap, q30, q10)
  gate 1470 (swap, q35, q10)
  gate 1471 (cz, q32, q10)
  gate 1472 (cx, q32, q10)
  gate 1473 (h, q10)
  gate 1474 (z, q32)
  gate 1475 (z, q32)
  gate 1476 (rx, q10)
  gate 1477 (z, q10)
  gate 1478 (z, q32)
  gate 1479 (z, q10)
  gate 1480 (z, q32)
  gate 1481 (x, q10)
  gate 1482 (z, q32)
  gate 1483 (z, q32)
  gate 1484 (rx, q10)
  gate 1485 (cx, q32, q10)
  gate 1486 (cz, q32, q10)
  gate 1487 (swap, q9, q11)
  gate 1488 (swap, q38, q42)
  gate 1489 (swap, q8, q11)
  gate 1490 (swap, q27, q11)
  gate 1491 (swap, q34, q11)
  gate 1492 (swap, q25, q11)
  gate 1493 (swap, q24, q11)
  gate 1494 (swap, q22, q11)
  gate 1495 (swap, q44, q11)
  gate 1496 (cz, q11, q42)
  gate 1497 (cx, q11, q42)
  gate 1498 (rx, q42)
  gate 1499 (rz, q11)
  gate 1500 (z, q42)
  gate 1501 (rz, q11)
  gate 1502 (z, q42)
  gate 1503 (rx, q11)
  gate 1504 (cz, q11, q42)
  gate 1505 (z, q42)
  gate 1506 (z, q11)
  gate 1507 (z, q42)
  gate 1508 (z, q11)
  gate 1509 (z, q42)
  gate 1510 (x, q11)
  gate 1511 (h, q42)
  gate 1512 (rz, q11)
  // else
  gate 1513 (measure, q61)
  gate 1514 (x, q38)
  gate 1515 (x, q41)
  gate 1516 (h, q9)
  gate 1517 (z, q31)
  gate 1518 (h, q17)
  gate 1519 (rz, q54)
  gate 1520 (h, q6)
  gate 1521 (x, q63)
  gate 1522 (z, q64)
  gate 1523 (x, q35)
  gate 1524 (x, q64)
  gate 1525 (rx, q41)
  gate 1526 (rz, q35)
  gate 1527 (rx, q38)
  gate 1528 (x, q63)
  gate 1529 (rz, q17)
  gate 1530 (rz, q41)
  gate 1531 (h, q63)
  gate 1532 (rx, q63)
  gate 1533 (z, q41)
  gate 1534 (x, q41)
  gate 1535 (x, q63)
  gate 1536 (z, q63)
  gate 1537 (rx, q41)
  gate 1538 (rz, q63)
  gate 1539 (z, q41)
  gate 1540 (h, q63)
  gate 1541 (z, q41)
  gate 1542 (z, q63)
  gate 1543 (rx, q41)
  gate 1544 (rz, q41)
  gate 1545 (z, q63)
  if {
    // then
    gate 1546 (cx, q0, q1)
    gate 1547 (cz, q2, q3)
    gate 1548 (cx, q4, q5)
    gate 1549 (cz, q6, q7)
    gate 1550 (rz, q8)
    gate 1551 (rz, q9)
    gate 1552 (rz, q10)
    gate 1553 (rx, q11)
    gate 1554 (x, q12)
    gate 1555 (rz, q13)
    gate 1556 (x, q14)
    gate 1557 (x, q15)
    gate 1558 (x, q16)
    gate 1559 (rx, q17)
    gate 1560 (rx, q18)
    gate 1561 (x, q19)
    gate 1562 (x, q19)
    gate 1563 (z, q6)
    gate 1564 (rx, q2)
    gate 1565 (rz, q12)
    gate 1566 (h, q17)
    gate 1567 (h, q3)
    gate 1568 (rx, q11)
    gate 1569 (z, q10)
    gate 1570 (x, q16)
    gate 1571 (rz, q7)
    gate 1572 (x, q14)
    gate 1573 (cx, q0, q1)
    gate 1574 (cx, q4, q5)
    gate 1575 (h, q8)
    gate 1576 (cx, q0, q1)
    gate 1577 (cx, q4, q5)
    gate 1578 (cz, q2, q3)
    gate 1579 (x, q16)
    gate 1580 (x, q11)
    gate 1581 (rz, q19)
    gate 1582 (x, q8)
    gate 1583 (h, q6)
    gate 1584 (z, q12)
    gate 1585 (rz, q10)
    gate 1586 (x, q14)
    gate 1587 (rx, q7)
    gate 1588 (rx, q17)
    gate 1589 (cz, q4, q5)
    gate 1590 (cx, q0, q1)
    gate 1591 (cz, q2, q3)
    gate 1592 (h, q8)
    gate 1593 (rx, q7)
    gate 1594 (rx, q12)
    gate 1595 (rz, q11)
    gate 1596 (x, q6)
    gate 1597 (rz, q16)
    gate 1598 (x, q10)
    gate 1599 (h, q19)
    gate 1600 (x, q17)
    gate 1601 (x, q14)
    gate 1602 (cz, q4, q5)
    gate 1603 (cx, q2, q3)
    gate 1604 (cz, q6, q7)
    gate 1605 (rz, q0)
    gate 1606 (z, q11)
    gate 1607 (x, q16)
    gate 1608 (rz, q14)
    gate 1609 (rz, q10)
    gate 1610 (h, q1)
    gate 1611 (rz, q17)
    gate 1612 (h, q12)
    gate 1613 (rz, q19)
    gate 1614 (h, q8)
    gate 1615 (cx, q6, q7)
    gate 1616 (cx, q2, q3)
    gate 1617 (h, q11)
    gate 1618 (rx, q10)
    gate 1619 (x, q12)
    gate 1620 (h, q5)
    gate 1621 (x, q8)
    gate 1622 (rx, q1)
    gate 1623 (rx, q19)
    gate 1624 (h, q4)
    gate 1625 (rx, q16)
    gate 1626 (rx, q0)
    gate 1627 (cz, q4, q5)
    gate 1628 (cx, q6, q7)
    gate 1629 (rz, q10)
    gate 1630 (rx, q11)
    gate 1631 (z, q8)
    gate 1632 (z, q19)
    gate 1633 (rx, q3)
    gate 1634 (h, q12)
    gate 1635 (rz, q16)
    gate 1636 (z, q0)
    gate 1637 (z, q2)
    gate 1638 (x, q1)
    gate 1639 (cx, q2, q3)
    gate 1640 (cz, q6, q7)
    gate 1641 (rx, q16)
    gate 1642 (rz, q11)
    gate 1643 (z, q4)
    gate 1644 (x, q0)
    gate 1645 (rx, q10)
    gate 1646 (z, q19)
    gate 1647 (x, q1)
    gate 1648 (rz, q8)
    gate 1649 (rz, q12)
    gate 1650 (h, q5)
    gate 1651 (cz, q0, q1)
    gate 1652 (cx, q6, q7)
    gate 1653 (h, q12)
    gate 1654 (rx, q10)
    gate 1655 (rz, q2)
    gate 1656 (z, q5)
    gate 1657 (rz, q8)
    gate 1658 (rz, q3)
    gate 1659 (z, q19)
    gate 1660 (x, q16)
    gate 1661 (z, q4)
    gate 1662 (z, q11)
    gate 1663 (x, q16)
    gate 1664 (rx, q10)
    gate 1665 (rz, q0)
    gate 1666 (rz, q1)
    gate 1667 (rz, q19)
    gate 1668 (h, q11)
    gate 1669 (h, q12)
    gate 1670 (cz, q4, q5)
    gate 1671 (cz, q6, q7)
    gate 1672 (cx, q2, q3)
    gate 1673 (h, q8)
    gate 1674 (swap, q18, q14)
    gate 1675 (swap, q8, q9)
    gate 1676 (swap, q7, q9)
    gate 1677 (swap, q6, q9)
    gate 1678 (swap, q5, q9)
    gate 1679 (swap, q4, q9)
    gate 1680 (swap, q3, q9)
    gate 1681 (swap, q2, q9)
    gate 1682 (swap, q1, q9)
    gate 1683 (swap, q0, q9)
    gate 1684 (cz, q18, q9)
    gate 1685 (cz, q18, q9)
    gate 1686 (cz, q18, q9)
    gate 1687 (cz, q18, q9)
    gate 1688 (x, q9)
    gate 1689 (h, q18)
    gate 1690 (cx, q18, q9)
    gate 1691 (h, q9)
    gate 1692 (h, q18)
    gate 1693 (cz, q18, q9)
    gate 1694 (rz, q9)
    gate 1695 (h, q18)
    gate 1696 (swap, q3, q15)
    gate 1697 (swap, q12, q13)
    gate 1698 (swap, q31, q17)
    gate 1699 (swap, q19, q14)
    gate 1700 (swap, q11, q13)
    gate 1701 (swap, q10, q13)
    gate 1702 (swap, q8, q13)
    gate 1703 (swap, q7, q13)
    gate 1704 (swap, q6, q13)
    gate 1705 (swap, q5, q13)
    gate 1706 (swap, q4, q13)
    gate 1707 (cx, q13, q15)
    gate 1708 (z, q15)
    gate 1709 (z, q13)
    gate 1710 (h, q13)
    gate 1711 (rz, q15)
    gate 1712 (rx, q15)
    gate 1713 (x, q13)
    gate 1714 (cz, q13, q15)
    gate 1715 (rx, q15)
    gate 1716 (h, q13)
    gate 1717 (cz, q13, q15)
    gate 1718 (h, q15)
    gate 1719 (rz, q13)
    gate 1720 (cx, q13, q15)
    gate 1721 (swap, q20, q14)
    gate 1722 (swap, q30, q17)
    gate 1723 (swap, q21, q14)
    gate 1724 (swap, q22, q14)
    gate 1725 (swap, q23, q14)
    gate 1726 (swap, q25, q14)
    gate 1727 (swap, q34, q14)
    gate 1728 (swap, q27, q14)
    gate 1729 (swap, q26, q14)
    gate 1730 (swap, q29, q14)
    gate 1731 (cz, q17, q14)
    gate 1732 (cx, q17, q14)
    gate 1733 (cx, q17, q14)
    gate 1734 (cx, q17, q14)
    gate 1735 (z, q17)
    gate 1736 (x, q14)
    gate 1737 (swap, q9, q0)
    gate 1738 (swap, q15, q3)
    gate 1739 (swap, q13, q4)
    gate 1740 (swap, q17, q30)
    gate 1741 (swap, q36, q32)
    gate 1742 (swap, q33, q41)
    gate 1743 (swap, q39, q37)
    gate 1744 (swap, q0, q1)
    gate 1745 (swap, q4, q5)
    gate 1746 (swap, q31, q30)
    gate 1747 (swap, q39, q40)
    gate 1748 (swap, q1, q2)
    gate 1749 (swap, q5, q6)
    gate 1750 (swap, q2, q15)
    gate 1751 (swap, q6, q7)
    gate 1752 (swap, q15, q13)
    gate 1753 (swap, q7, q8)
    gate 1754 (swap, q13, q4)
    gate 1755 (swap, q8, q10)
    gate 1756 (swap, q4, q5)
    gate 1757 (swap, q10, q11)
    gate 1758 (swap, q5, q6)
    gate 1759 (swap, q11, q12)
    gate 1760 (swap, q6, q7)
    gate 1761 (swap, q29, q14)
    gate 1762 (swap, q26, q29)
    gate 1763 (swap, q27, q26)
    gate 1764 (swap, q34, q27)
    gate 1765 (swap, q25, q34)
    gate 1766 (swap, q23, q25)
    gate 1767 (swap, q22, q23)
    gate 1768 (swap, q27, q26)
    gate 1769 (swap, q21, q22)
    gate 1770 (swap, q26, q29)
    gate 1771 (swap, q20, q21)
    gate 1772 (swap, q29, q14)
    gate 1773 (swap, q19, q20)
    gate 1774 (swap, q18, q19)
    gate 1775 (swap, q14, q17)
    gate 1776 (swap, q17, q30)
    gate 1777 (swap, q30, q35)
    gate 1778 (swap, q14, q17)
    // else
    gate 1779 (cz, q20, q21)
    gate 1780 (cz, q22, q23)
    gate 1781 (cz, q24, q25)
    gate 1782 (cx, q26, q27)
    gate 1783 (rz, q28)
    gate 1784 (h, q29)
    gate 1785 (x, q30)
    gate 1786 (rx, q31)
    gate 1787 (x, q32)
    gate 1788 (h, q33)
    gate 1789 (x, q34)
    gate 1790 (rz, q35)
    gate 1791 (h, q36)
    gate 1792 (x, q37)
    gate 1793 (rz, q38)
    gate 1794 (h, q39)
    gate 1795 (cz, q20, q21)
    gate 1796 (cx, q26, q27)
    gate 1797 (z, q36)
    gate 1798 (rz, q23)
    gate 1799 (rz, q33)
    gate 1800 (rx, q37)
    gate 1801 (h, q24)
    gate 1802 (h, q25)
    gate 1803 (rz, q35)
    gate 1804 (rx, q30)
    gate 1805 (z, q38)
    gate 1806 (rz, q28)
    gate 1807 (rz, q22)
    gate 1808 (rz, q39)
    gate 1809 (cx, q26, q27)
    gate 1810 (cx, q24, q25)
    gate 1811 (cz, q20, q21)
    gate 1812 (z, q39)
    gate 1813 (x, q30)
    gate 1814 (rz, q35)
    gate 1815 (h, q23)
    gate 1816 (z, q28)
    gate 1817 (h, q36)
    gate 1818 (x, q22)
    gate 1819 (rz, q38)
    gate 1820 (cz, q20, q21)
    gate 1821 (cx, q22, q23)
    gate 1822 (cz, q24, q25)
    gate 1823 (z, q27)
    gate 1824 (h, q35)
    gate 1825 (x, q26)
    gate 1826 (rz, q38)
    gate 1827 (rz, q30)
    gate 1828 (h, q36)
    gate 1829 (rz, q39)
    gate 1830 (rz, q28)
    gate 1831 (cz, q22, q23)
    gate 1832 (cx, q26, q27)
    gate 1833 (cz, q20, q21)
    gate 1834 (rz, q35)
    gate 1835 (rx, q30)
    gate 1836 (x, q38)
    gate 1837 (z, q36)
    gate 1838 (rx, q39)
    gate 1839 (rx, q25)
    gate 1840 (z, q28)
    gate 1841 (h, q24)
    gate 1842 (cx, q24, q25)
    gate 1843 (cz, q22, q23)
    gate 1844 (cz, q20, q21)
    gate 1845 (h, q30)
    gate 1846 (rx, q38)
    gate 1847 (x, q28)
    gate 1848 (z, q39)
    gate 1849 (rx, q35)
